show,season,episode,title,us_viewers,air_date,imdb_rating,total_votes,description
The Office,5,17,Golden Ticket,7510000,3/12/09,8.7,3870,"Michael asks Dwight to be the scapegoat for one of his business ideas that backfired badly on him. But when that idea has an unexpected positive upside, Dwight still takes credit and Michael becomes furious."
The Office,5,18,New Boss,7950000,3/19/09,8.3,3617,"Michael gets upset when he gets a new boss to act as a buffer between him and David Wallace, and he gets even more upset when he disbands the Party Planning Committee and cancels Michael's fifteenth anniversary party."
The Office,5,19,Two Weeks,8450000,3/26/09,8.4,3602,"As Michael prepares to leave Dunder Mifflin, he announces that he will form his own paper company. Will anybody join him?"
The Office,5,20,Dream Team,7200000,4/9/09,8.3,3592,Michael and Pam begin their first day as the Michael Scott Paper Company putting together the rest of the staff and trying to raise money.
The Office,5,21,Michael Scott Paper Company,7940000,4/9/09,8.7,3946,"Tension and disillusionment begin to emerge as Michael, Pam, and Ryan move the Michael Scott Paper Company into a cramped ""workspace"" at the business park."
The Office,5,22,Heavy Competition,8240000,4/16/09,8.7,3708,"Dwight chooses loyalty to Dunder Mifflin over loyalty to Michael, which leads to a bitter battle between Michael and Dwight over Dwight's accounts. Back at Dunder Mifflin, Jim pretends to confide in Andy."
The Office,5,23,Broke,7210000,4/23/09,9.3,4998,"The Michael Scott Paper Company is gaining clients by offering lower prices than Dunder Mifflin, but is going broke in the process. However, Dunder Mifflin is losing clients to Michael, and is desperate to buy him out."
The Office,5,24,Casual Friday,7310000,4/30/09,8.3,3556,"Michael returns to Dunder Mifflin and brings Ryan and Pam in as salespeople, but the existing salespeople demand that Michael return the clients they stole back to them. Meanwhile, some employees take the idea of Casual Friday too far."
The Office,5,25,Cafe Disco,7710000,5/7/09,8.8,4172,"Michael tries to create a place to escape from work in the storage room that used to house the Michael Scott Paper Company, while Jim and Pam consider taking off and getting married that day."
The Office,5,26,Company Picnic,6720000,5/14/09,9,4255,"Michael runs into Holly at the company picnic, and the two of them accidentally reveal that the Buffalo branch is closing during a comedy skit before corporate has made the announcement."
The Office,6,1,Gossip,8200000,9/17/09,8.8,4184,"Michael regrets revealing that Stanley is having an affair, so he spreads a bunch of lies about everyone else to cover his tracks--except that one of the lies that he spread actually turns out to be true."
The Office,6,2,The Meeting,7330000,9/24/09,8.1,3402,"Michael sabotages--then promotes--Jim's efforts at getting a promotion, while Dwight and Toby try to prove that Darryl has submitted a fraudulent medical claim."
The Office,6,3,The Promotion,7280000,10/1/09,8,3390,Jim discovers just how hard being the boss can be when David Wallace forces Michael and him to determine which employees will be getting a raise.
The Office,6,4,Niagara: Part 1,9420000,10/8/09,9.4,6277,"The Office travels to Niagara Falls to celebrate Jim and Pam's wedding under strict orders not to mention Pam's pregnancy. Michael, Dwight, and Andy all want to hook up with guests at the wedding and Michael and Dwight meet twins."
The Office,6,5,Niagara: Part 2,9420000,10/8/09,9.5,5122,"Pam is forced to deal with an embarrassing injury for Andy the night before her wedding, while Kevin deals with the loss of his dress shoes on the morning of the ceremony."
